Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"D2",1,"Blue LED"
"D3",1,"Yellow LED"
"R1, R2, R3, R4, R5, R6",6,"1 kΩ Resistor"
"S1, S2, S3",3," Pushbutton"
